distribution,round,n_players,mae,brier_10plus,logloss_10plus,base_rate_10plus,hitrate_10plus,brier_15plus,logloss_15plus,base_rate_15plus,hitrate_15plus,brier_20plus,logloss_20plus,base_rate_20plus,hitrate_20plus,brier_25plus,logloss_25plus,base_rate_25plus,hitrate_25plus,brier_30plus,logloss_30plus,base_rate_30plus,hitrate_30plus
negbin,8,414,3.8948,0.1299,0.4058,0.7754,0.8213,0.1494,0.4677,0.5411,0.8462,0.1193,0.3785,0.2923,0.8182,0.0763,0.2497,0.1329,0.64,0.0368,0.1352,0.0459,0.5
negbin,9,413,3.8758,0.1341,0.4177,0.7627,0.8243,0.1658,0.5068,0.4915,0.7869,0.1175,0.3714,0.2591,0.7703,0.0756,0.2509,0.1259,0.65,0.0335,0.1295,0.0363,
negbin,10,414,4.0323,0.1317,0.4154,0.7778,0.8392,0.1689,0.5145,0.5411,0.861,0.1246,0.3934,0.2512,0.6667,0.0693,0.2333,0.1159,0.7,0.037,0.1329,0.0459,
negbin,11,414,3.8678,0.1357,0.4221,0.7971,0.8455,0.1628,0.4959,0.5121,0.8162,0.1144,0.3688,0.285,0.8889,0.0687,0.234,0.1304,0.8148,0.0341,0.1254,0.0435,0.0
negbin,12,414,3.9334,0.1344,0.4195,0.7705,0.8256,0.1567,0.4861,0.5072,0.8211,0.1297,0.4108,0.2947,0.8493,0.0751,0.2596,0.1304,0.7692,0.0382,0.1348,0.0507,
negbin,13,322,3.8543,0.1378,0.4273,0.7919,0.831,0.1645,0.4992,0.4876,0.7847,0.1224,0.3874,0.264,0.7818,0.0726,0.2437,0.118,0.7368,0.0329,0.128,0.0404,
negbin,14,368,4.0392,0.1459,0.4452,0.7582,0.8062,0.1556,0.4867,0.481,0.7929,0.1245,0.3888,0.2663,0.7656,0.0767,0.2513,0.1141,0.4545,0.0342,0.1282,0.038,
negbin,15,322,3.7799,0.1351,0.4171,0.7888,0.8345,0.1605,0.494,0.5062,0.8333,0.116,0.3774,0.2826,0.8103,0.0779,0.2703,0.146,0.8462,0.034,0.1439,0.0497,1.0
negbin,16,322,3.9442,0.143,0.4406,0.7733,0.8169,0.1576,0.488,0.5062,0.8129,0.1214,0.383,0.264,0.7288,0.0715,0.2373,0.1366,0.6923,0.0434,0.1464,0.0621,0.3333
negbin,17,321,3.9611,0.1415,0.4344,0.7632,0.8162,0.1491,0.4684,0.4798,0.8322,0.1163,0.3711,0.2399,0.7358,0.0788,0.2642,0.1215,0.6429,0.0294,0.1137,0.0312,0.0
negbin,18,412,3.8248,0.1346,0.4219,0.7913,0.8501,0.1646,0.5054,0.5146,0.8372,0.1269,0.4023,0.2767,0.7838,0.0745,0.2425,0.1214,0.5714,0.026,0.1068,0.0291,0.0
negbin,19,414,3.781,0.1463,0.4486,0.7391,0.8078,0.1427,0.453,0.4541,0.8132,0.1184,0.3743,0.2681,0.7763,0.0646,0.2204,0.1135,0.6667,0.036,0.1308,0.0411,0.0
negbin,20,414,3.6342,0.129,0.4041,0.7802,0.8527,0.1497,0.4686,0.4734,0.8256,0.1123,0.3616,0.2754,0.8406,0.0768,0.2467,0.1304,0.7895,0.0307,0.1196,0.0362,
negbin,21,414,3.8553,0.1348,0.4202,0.7923,0.8497,0.1556,0.4827,0.5048,0.8547,0.1124,0.3577,0.2633,0.7568,0.0815,0.2648,0.1208,0.6071,0.0369,0.1344,0.0507,1.0
negbin,22,414,3.7905,0.1374,0.4245,0.7609,0.8107,0.1448,0.4567,0.4589,0.814,0.1072,0.3468,0.2536,0.8636,0.0663,0.2229,0.1208,0.7368,0.0356,0.1248,0.0507,0.6667
negbin,23,413,3.6359,0.1239,0.3944,0.7676,0.8676,0.1631,0.4985,0.5157,0.8424,0.1164,0.3686,0.2809,0.8108,0.0724,0.2336,0.1235,0.6667,0.0282,0.1089,0.0339,0.5
negbin,24,414,3.7624,0.1345,0.4199,0.7681,0.8481,0.1519,0.4716,0.4855,0.8415,0.1182,0.372,0.2826,0.8143,0.0659,0.2182,0.1135,0.6667,0.0297,0.1127,0.0314,0.0
